"Excel Raw Data Export"
"(C)Copyright 2005 Corbett Research, Pty Ltd. (R) All Rights Reserved."
"File","Run 2013-07-01_SPR_melts.rex"
"Date","01/07/2013"
"Time","15:40:23"


"Channel Melt A.SYPRO Orange"

"ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"Page 1"," Zinc"," Zinc"," Zinc"," buffer"," buffer"," buffer"," urea"," urea"," urea"," cobalt"," cobalt"," cobalt"," EDTA"," EDTA"," EDTA"," copper"," copper"," copper"," platinum"," platinum"," platinum"," cadmium"," cadmium"," cadmium"," m-tri-lys"," m-tri-lys"," m-tri-lys"," mdp control"," mdp control"," mdp control"," tri DAP"," tri DAP"," tri DAP"," m-tri-lys-D-asn"," m-tri-lys-D-asn"," m-tri-lys-D-asn"
"25","2.03109319154181","1.88154639287622","1.64808335785676","1.30246651189659","1.21165609755003","1.19067321630837","2.68457058569212","3.01271780786544","2.80940391720891","1.42715451939531","1.35042343785763","1.19759846470764","2.00625619897765","1.5884641794461","2.03491772844027","1.2291142137789","1.33799823431318","1.51026169222553","10.7187507947407","9.34208183922077","9.85955831000464","1.69887410217005","2.11817022528856","1.8689758653137","1.93626815187813","2.09792477302205","1.76699473563745","1.95112026652425","1.84858562330861","1.81418032642569","1.88953641917707","1.86265706522058","1.75549178066917","1.94542992294194","1.84267948424506","1.96895878974158"
"26","1.96350913906419","1.85974779016665","1.64727010229414","1.31151293202106","1.18905928130007","1.1513885709926","2.62495867348236","2.96482795452811","2.80526218269409","1.42410271501597","1.34096284428168","1.17885481040665","2.07228416658492","1.68183031967651","2.14888643819749","1.2115663385977","1.33903785998087","1.47737850003815","9.89028763256275","8.75878029551639","9.44862111261745","1.66112059909268","2.00034877764335","1.82072829131653","1.86664788633202","2.08295821571171","1.73973194984868","1.92510167790552","1.7901375855141","1.76384120444546","1.8619528026715","1.85737509610249","1.73319013328169","1.89949390910709","1.79729479340374","1.9710587218026"
"27","1.96355001144427","1.83871213855192","1.60928184503373","1.28074057119605","1.20078329645736","1.13003956446392","2.58722585113064","2.92352686859439","2.75472296071976","1.41803264256915","1.3562727295847","1.17048435656813","2.12710765239948","1.72437120113934","2.23896802061142","1.17940501552312","1.33927261416389","1.4679179064622","8.24433215369356","7.69621467263948","8.28412298771649","1.60383219435634","1.96841382467384","1.80069174232598","1.89012330463463","2.02086671244373","1.73473280362729","1.93887671800238","1.78929638302493","1.75135423819333","1.85320820935378","1.83251316090639","1.69504257853995","1.88010223544671","1.80954047904353","1.93963966909721"
"28","1.96361813207773","1.85397116044862","1.61580326034435","1.26755521124942","1.17952239261463","1.12635057015922","2.56514330764731","2.89931588718496","2.75005722133211","1.42214084077211","1.32626331985453","1.16960402838178","2.2131130485445","1.79974294416959","2.30141263329636","1.17766951138432","1.34112930633874","1.46355818592028","6.75974670023652","6.53187863991252","7.0477353068335","1.57179663245124","1.92314539304697","1.80137839831134","1.8732992548511","2.03977909631377","1.71918313369446","1.90203707942321","1.80270084687572","1.74246292351122","1.83929902400948","1.80158185193662","1.7192557957035","1.89124677108197","1.78589244737105","1.89756836586775"
"29","1.95429922941939","1.84980036113019","1.61680236296853","1.25769553556232","1.17097734035248","1.13468434365665","2.52885590033679","2.85557335774777","2.77627004109037","1.40817296688205","1.35967421988251","1.1475682055839","2.24622975000636","1.83576932718613","2.34266676839348","1.16540779736019","1.29488059815366","1.43231352203657","5.64191435328995","5.44356069275959","5.98489356832227","1.55621677983775","1.92263675898375","1.74846592333431","1.85309921634023","2.00071208768851","1.71616311894408","1.89004784793295","1.80490753619616","1.75453320108848","1.81394557224267","1.82694089308875","1.67446957559111","1.90035858701457","1.78060069682867","1.93219907937235"
"30","1.95030645202309","1.85305561913481","1.61026278215566","1.25829709315633","1.16550316624704","1.13195014787787","2.58553226738166","2.91669267636308","2.76865415426871","1.40895268613282","1.3494425007357","1.16161847358918","2.32793985597831","1.90508888380255","2.38018942985755","1.17606368098472","1.35709925993744","1.45669162606677","5.00768400745512","4.67727168688487","5.21065079728389","1.53440364472637","1.87707767932076","1.74457571115845","1.8742147961649","2.03038892899273","1.71622380823571","1.8700518219859","1.7878487322296","1.74751013844628","1.84270295966336","1.83366492361686","1.70999780090567","1.89316777294575","1.78377965972381","1.92034790569924"
"31","1.98907219278014","1.85364418140797","1.58890015150029","1.21731091154704","1.16263574171562","1.11174690369014","2.57501863361328","2.87408763764909","2.78106573368647","1.36306662742918","1.34976947977635","1.15346467829874","2.45700770580606","2.02944991226062","2.5317578393225","1.14039390075096","1.33320254171708","1.42595559624628","4.34154386088467","3.86898369045313","4.30773925852891","1.51674677653162","1.86923018234531","1.71757898011045","1.83554295708107","2.00363673355205","1.71272983901732","1.87609674219883","1.77767605096513","1.7479718216729","1.82533115011943","1.77037351905743","1.73389439583077","1.87161440451667","1.820262593895","1.90597899341319"
"32","1.93310008828434","1.83623254749371","1.6069545236268","1.21868721548282","1.11935824913623","1.11225553775336","2.54227042508114","2.86119376414638","2.73735115117583","1.37158261488772","1.33449683375296","1.11456255654013","2.71152819104295","2.28213931486992","2.81915515882099","1.11942532175995","1.30739299610895","1.44749429253892","4.14414689351746","3.31534948609794","3.76440070191501","1.46567393265386","1.85833088099053","1.69495035368233","1.83670939192798","1.99881449137572","1.69320646546556","1.86770428015564","1.75533248318783","1.7263403415841","1.83730361345376","1.79903868162051","1.70475972490163","1.86104579787345","1.81146388516496","1.91162846461542"
"33","1.97756923781186","1.8646524757763","1.57876380124034","1.20491776477128","1.13327581855849","1.09305460186669","2.52806779700806","2.86783779659724","2.74275832252486","1.35356500118931","1.3168535896849","1.14959123427881","3.05213135837993","2.64402945888816","3.23999898273187","1.14290074006256","1.32435594211744","1.45103761348898","4.15186248099958","3.34052687222749","3.65217753178385","1.47545204852369","1.83049574214601","1.68623929667647","1.85784460446855","2.02618012185419","1.69484136066878","1.91170112662445","1.78002359279539","1.76699473563745","1.82925154497597","1.8142977035172","1.69963705326489","1.89571548463743","1.78225375753414","1.91672388799878"
