Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
2,51,58278,13194,13525,12733,1337
2,52,58046,13964,12352,12148,1233
2,53,57709,11777,11386,11751,1334
2,54,53331,10788,10349,10872,1069
2,55,50648,10646,9851,10117,798
2,56,58569,11349,10407,10824,1487
2,57,73060,14340,13059,13375,3085
2,58,56885,10686,9960,10115,849
2,59,69334,14701,13133,11343,659
2,60,77040,12092,10950,11630,1247
2,61,131016,24207,20298,19259,3247
2,62,73608,20793,19741,17952,2402
2,63,64110,16567,15434,15212,1903
2,64,123454,33131,24896,23067,4646
2,65,134066,45892,27226,18421,1357
2,66,100685,31189,22263,19017,3439
2,67,153929,55549,26786,17756,1482
2,68,101672,34802,23765,18133,1827
2,69,70680,19818,19059,19669,1837
2,70,201526,81557,40262,23163,1972
2,71,89072,24916,16093,13958,1418
2,72,65128,15625,16279,16094,1496
2,73,101329,18585,16474,15278,1370
2,74,82190,16783,15560,16002,1404
2,75,76245,12903,11277,12906,1957
2,76,66356,15669,16395,15541,1246
2,77,81490,14351,12778,13313,1931
2,78,65886,12777,12484,12606,1915
2,79,277058,86236,33049,16755,1437
2,80,102945,19873,17426,15331,1556
2,81,63805,14709,17425,16156,1138
2,82,110048,30282,21864,16708,1236
2,83,75634,14558,14335,14250,1189
2,84,76327,15052,15650,14818,1582
2,85,77322,21984,20908,17021,1042
2,86,77451,11059,8799,10820,468
2,87,64468,10666,8360,9751,1528
2,88,61241,13952,13837,13044,1180
2,89,86592,13269,11827,12059,1308
2,90,74625,13801,11205,11298,2049
2,91,74405,13114,11554,11586,1306
2,92,83726,14145,11445,12106,1322
2,93,51951,9666,6170,8774,968
2,94,71896,14120,12727,12812,956
2,95,74780,12809,10542,10909,872
2,96,88311,12745,10005,10747,2255
3,1,154053,25840,25461,26001,3591
3,2,147679,20566,17958,17816,3441
3,3,151004,32663,19598,15824,2200
3,4,72006,18209,26753,22110,1363
3,5,92475,20608,20159,15147,1313
3,6,76595,14182,17320,13362,1131
3,7,89538,16219,19727,14900,1564
3,8,104646,24710,24580,18375,1604
3,9,132276,22151,21552,19227,2678
3,10,204524,29968,17047,13541,1927
3,11,133825,18685,18335,17251,2545
3,12,314402,46401,37353,34703,8830
3,13,106388,16277,15856,14733,1766
3,14,94766,16277,14693,13555,2195
3,15,92289,19868,17834,15415,1720
3,16,73294,14509,12909,10728,1268
3,17,68474,13225,13512,11469,1434
3,18,72113,14152,11445,9300,909
3,19,65842,12867,12008,9210,531
3,20,71128,12512,12342,10427,1533
3,21,99616,19160,20529,20318,4100
3,22,81460,15444,17719,14598,1314
3,23,95895,16312,18915,15445,1433
3,24,103485,22671,19228,14543,1095
3,25,156621,117569,105752,45652,1848
3,26,126062,21131,17665,14381,2242
3,27,79119,14081,14001,13429,1037
3,28,381991,160067,64789,21905,1092
3,29,81202,19296,14874,13597,1738
3,30,847975,400854,96841,20620,1490
3,31,230944,56929,21095,13665,1062
3,32,61056,11197,9662,9535,2230
3,33,930551,382121,79575,16295,1291
3,34,75395,13760,10486,9715,1893
3,35,92537,14181,11182,10021,1908
3,36,104838,13524,10372,9741,2693
3,37,2437428,4879463,4107305,1048208,3051
3,38,237656,335779,332695,120013,3143
3,39,192807,62240,36682,20839,1896
3,40,63872,15694,15386,14662,986
3,41,63367,14070,14523,14196,1040
3,42,56029,12883,13524,13489,1320
3,43,78122,16136,14352,14281,1696
3,44,57517,12505,13348,12803,1633
3,45,4333006,2132285,804363,144551,5930
3,46,72229,14405,15673,13536,1286
3,47,90674,16963,17232,14955,1864
3,48,94812,16935,17266,15104,2313
3,49,87522,40091,42504,26959,1575
3,50,90764,17050,17079,15711,2529
3,51,55901,12828,13443,12943,1428
3,52,56212,13796,12255,11694,1281
3,53,56864,11690,11282,11908,1538
3,54,51966,10584,10347,10635,1170
3,55,50016,10525,9702,10119,867
3,56,57333,11347,10160,10975,1351
3,57,71201,14101,12748,12934,2992
3,58,55558,10550,9462,10224,1008
3,59,68376,14345,13154,11758,1035
3,60,75742,11736,10409,11134,985
3,61,126235,23356,19362,18105,3141
3,62,73052,20948,19946,18367,2525
3,63,63073,16625,15472,14949,1758
3,64,119974,32268,24031,22831,4419
3,65,132663,45851,26825,18165,1492
3,66,98520,31207,22081,19033,3382
3,67,153286,55528,26576,17831,1090
3,68,100983,34629,23701,18254,1709
3,69,68637,19259,18513,19862,2333
3,70,204002,82727,40479,23344,1698
3,71,88469,24319,16346,13917,1015
3,72,65433,15893,16067,15397,1256
3,73,100282,18627,16265,15224,1376
3,74,81237,16586,15743,15906,1360
3,75,74975,12783,11335,12691,1904
