Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
2,50,79296,14283,12109,12455,2136
2,51,59752,11672,9820,9984,1287
2,52,65960,12808,11446,11323,1888
2,53,74375,13454,10969,10966,1695
2,54,73922,14421,12367,12722,2018
2,55,56885,14461,12721,10905,945
2,56,67885,18005,15171,12499,2161
2,57,61396,12167,10657,10705,1664
2,58,64037,12291,10996,10343,1223
2,59,74806,28076,17919,12462,1138
2,60,122169,55825,36374,17862,1718
2,61,102789,16599,13572,14461,2014
2,62,71547,13444,11897,12064,1554
2,63,75533,13142,10662,11341,1660
2,64,152586,68916,35412,17178,2402
2,65,57454,15735,14632,13697,1496
2,66,85975,15064,12373,12832,2266
2,67,64245,15705,14336,13009,1795
2,68,59140,15540,14136,13350,1494
2,69,73808,16104,16224,18161,2159
2,70,55574,15659,15097,14124,1390
2,71,78967,13450,12897,11026,991
2,72,79080,13950,13417,11663,1270
2,73,88316,14645,12339,13116,1685
2,74,71880,20989,20487,21697,4806
2,75,59603,15828,16162,15776,1858
2,76,48822,14920,14631,13496,1528
2,77,72874,17486,17681,16632,2468
2,78,58468,15685,15236,14922,2291
2,79,63907,16914,16281,16030,1567
2,80,64064,15849,15417,13994,1815
2,81,52579,15981,17029,15796,2164
2,82,63642,16062,15679,14828,1591
2,83,68694,14779,14128,13167,1300
2,84,81168,16161,14652,13752,1813
2,85,67479,14415,46250,37423,1158
2,86,79301,12317,11060,11467,82
2,87,64080,11451,9819,10564,1287
2,88,63029,11572,9737,10093,1581
2,89,89635,14283,13191,12254,1666
2,90,76896,14697,13526,12172,1844
2,91,82442,22696,36475,32291,1599
2,92,87149,22988,19800,15137,1453
2,93,49965,13461,12088,11167,1139
2,94,69724,15638,17297,15166,1212
2,95,70580,16994,18184,15882,982
2,96,87494,16613,16010,14575,2300
3,1,161501,25600,21334,19439,4185
3,2,156000,25947,21786,20304,3344
3,3,105146,20485,18181,16420,3154
3,4,4221322,3096183,1474844,479802,2079
3,5,82435,26309,50879,41029,1566
3,6,88266,15699,15787,10942,913
3,7,114994,14205,12035,8483,1338
3,8,109754,13681,11439,7583,674
3,9,131289,17489,13502,10313,1677
3,10,167424,19425,15759,13070,1892
3,11,189411,22926,17726,14325,2393
3,12,190940,23229,16463,12871,4278
3,13,132104,18107,12389,11708,2001
3,14,118706,16967,11934,10707,1617
3,15,101053,14553,10777,9735,1193
3,16,88144,14883,10672,8810,1389
3,17,82860,14046,11376,9501,1555
3,18,81687,13174,10952,8938,803
3,19,82397,17173,13198,9193,534
3,20,94763,17304,12692,9691,1704
3,21,109693,18941,14465,12261,2411
3,22,108726,16628,12689,10556,1786
3,23,119776,17507,13448,11698,1964
3,24,118735,16515,13255,11708,1274
3,25,134546,16521,12074,12400,2497
3,26,168816,25142,15327,13517,2540
3,27,98958,14367,11400,10879,1720
3,28,88320,14102,11104,10974,1418
3,29,81601,13893,11388,11280,1451
3,30,69295,13238,11286,11155,1586
3,31,61279,16334,15652,15041,2090
3,32,433033,690443,673027,223370,2877
3,33,183817,269327,286596,115526,2104
3,34,110173,93071,106438,53259,1737
3,35,118750,32889,33031,22818,2191
3,36,123051,19556,18178,14926,2703
3,37,98352,13589,11868,12006,1267
3,38,103763,15225,13071,12057,1880
3,39,87581,13237,11848,11565,1700
3,40,71403,12554,12066,11838,1036
3,41,78686,15330,13343,12349,1671
3,42,91694,14581,11925,12722,1426
3,43,74573,12064,10922,10252,1157
3,44,71136,12133,10194,10143,1736
3,45,62788,11328,10243,9001,1275
3,46,76414,13730,11140,10548,1793
3,47,102372,17375,14218,12599,2792
3,48,107597,15907,12895,11397,2192
3,49,101646,17106,12970,13842,2032
