Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
2,50,92045,15746,12390,11843,1756
2,51,69260,13509,11208,9935,1479
2,52,65413,12696,10887,10247,1322
2,53,83858,17720,13661,11946,1825
2,54,77228,15673,13024,12753,1855
2,55,71867,13415,10796,11271,1358
2,56,72568,14309,12457,11537,1910
2,57,86809,20655,15607,13101,2520
2,58,68302,13090,11243,10667,1017
2,59,56324,12075,8734,10472,1069
2,60,106549,31945,20203,11570,1440
2,61,127111,19432,15188,13980,3132
2,62,89889,15077,11827,11218,1567
2,63,87852,14558,10879,10884,2019
2,64,507402,225466,69625,21293,2476
2,65,64494,17763,16568,14505,1679
2,66,90566,15195,12545,12540,2218
2,67,65629,16604,14805,15113,1863
2,68,69362,16521,15073,13914,2056
2,69,71638,16100,18994,19150,2355
2,70,61784,18035,16320,14183,1607
2,71,82481,13633,11677,10443,1495
2,72,86657,14024,11707,10127,1591
2,73,102493,15562,12299,11048,1597
2,74,103018,27104,25456,25255,5790
2,75,69457,20316,19698,18837,2530
2,76,54033,16614,15571,15284,1826
2,77,76060,18430,17627,17112,2315
2,78,59730,16976,16655,16403,2519
2,79,61823,17441,17338,16418,1530
2,80,72816,18128,17346,15644,2013
2,81,62819,23900,23267,18642,1740
2,82,76806,17634,16916,16949,2272
2,83,79219,15510,14001,13665,1714
2,84,82022,17324,15327,12528,1849
2,85,74728,20972,202845,150590,1447
2,86,93179,14304,11898,10680,12
2,87,79695,12775,10086,10009,1086
2,88,68807,12087,9355,9613,1436
2,89,92941,15257,13091,12346,1752
2,90,81445,15251,12713,11157,1560
2,91,104488,29169,37754,30923,1936
2,92,77629,20864,19359,17676,2132
2,93,51532,17023,16249,13843,1326
2,94,76434,16107,16541,13872,941
2,95,90058,17070,16677,13707,1073
2,96,95111,15697,13609,11664,1416
3,1,189666,29037,22754,21403,4532
3,2,183349,28417,23189,21060,3142
3,3,111861,22739,20971,17564,3062
3,4,1720502,1707289,1201458,468362,2450
3,5,108060,30636,44576,34180,1627
3,6,110754,17737,15726,11614,1776
3,7,129304,15000,11906,8610,1618
3,8,116301,13737,10140,7071,993
3,9,114654,15798,12631,10458,1867
3,10,171250,20207,14786,12438,2583
3,11,196924,22794,16555,13930,2830
3,12,185268,23210,16823,14548,4380
3,13,149562,20291,13983,12890,2274
3,14,126860,18330,12747,11456,2039
3,15,107587,14686,10539,9305,1739
3,16,103844,16319,11801,9098,1645
3,17,91122,14735,11407,9469,1920
3,18,87177,15208,12363,9391,4241
3,19,90277,18264,13467,8704,481
3,20,100101,18258,13777,10073,1944
3,21,109445,19906,15991,12418,2709
3,22,104167,17572,13992,11609,2357
3,23,117724,17615,14238,12036,2026
3,24,124080,16783,12929,11647,1101
3,25,152101,19199,12628,13506,2282
3,26,149738,18290,12603,11515,2579
3,27,109284,15236,10986,12022,1820
3,28,99134,15433,11441,12600,1405
3,29,91136,14857,11305,11828,1861
3,30,80015,14116,11037,11112,1201
3,31,69255,17277,15467,15373,1839
3,32,1315052,2010822,1651602,438542,2621
3,33,1190220,1942525,1586228,422496,2641
3,34,603853,1042934,911337,267892,2098
3,35,154415,128744,119195,51977,2667
3,36,113417,40546,35927,22092,3417
3,37,108962,15558,13106,11554,2141
3,38,107507,16076,13150,12053,2393
3,39,92230,14072,12224,11474,1644
3,40,83339,14091,12037,12364,1238
3,41,97899,23406,15407,13013,1660
3,42,89901,14130,10903,11935,1707
3,43,82518,13442,10576,11486,1582
3,44,76096,12709,9941,10011,1555
3,45,66319,11861,9473,9205,1951
3,46,89544,14684,11290,10456,1872
3,47,108487,19193,14791,12120,2711
3,48,90427,14117,11341,9445,1623
3,49,97995,17315,13323,11299,1618
3,50,92151,15395,12454,11695,2053
3,51,69367,13514,10875,10340,1886
3,52,65740,12673,10820,10169,1155
3,53,82859,17473,13700,11547,1828
3,54,76436,15592,12774,12721,1842
3,55,71403,13443,10741,11126,1264
3,56,72194,14707,12335,11862,1971
3,57,85562,20427,15357,13288,2586
3,58,67806,12688,11394,10484,923
3,59,56230,12615,9615,10496,1474
3,60,106381,32738,20504,12154,1748
3,61,128490,19805,14870,13657,3095
3,62,89253,14830,11720,11056,1778
3,63,87517,14783,10860,10398,1674
